question_id,category,risk_level,answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
Q001,Stale Guidance,High,Critical-risk AI systems shall undergo adversarial red-team testing at least quarterly. [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf],How often must Critical AI systems undergo adversarial red-team testing?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'Section 4 – Monitoring \nAI-SDL-008 \nAll production AI systems shall maintain immutable audit logs. \nAI-SDL-009 \nCritical-risk AI systems shall be monitored continuously for security events and model \nperformance degradation. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within one \nbusiness day. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the AI Governance Committee within \nfive business days.', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 2.0 \nEffective Date: January 1, 2026 \nPurpose \nThis standard establishes minimum security, governance, and control requirements for the \ndevelopment, deployment, and monitoring of Generative AI and Agentic AI systems. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002']",Critical-risk AI systems shall undergo adversarial red-team testing at least quarterly. [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf],Quarterly,,,,
Q002,Stale Guidance,Medium,Security testing results shall be retained for a minimum of seven years. [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf],How long must security testing records be retained?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'Section 4 – Monitoring \nAI-SDL-008 \nAll production AI systems shall maintain immutable audit logs. \nAI-SDL-009 \nCritical-risk AI systems shall be monitored continuously for security events and model \nperformance degradation. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within one \nbusiness day. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the AI Governance Committee within \nfive business days.', 'assessment of data quality, relevance, and inputs. Testing may be performed by model \ndevelopers in collaboration with model users. The specific approach depends on the model’s \ncharacteristics. The rigor of effective testing is commensurate with model complexity and \nmateriality. For models that have relatively less material impact or for banking organizations \nwith relatively less complex operations, model testing may be more limited in scope.  \nModel Use']",Security testing results shall be retained for a minimum of seven years. [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf],Seven years,,,,
Q003,Stale Guidance,High,"Potential prompt injection incidents shall be escalated to Information Security within one business day (AI-SDL-010, Section 5 – Incident Management, data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",Within how many business days must prompt injection incidents be escalated?,"['Section 4 – Monitoring \nAI-SDL-008 \nAll production AI systems shall maintain immutable audit logs. \nAI-SDL-009 \nCritical-risk AI systems shall be monitored continuously for security events and model \nperformance degradation. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within one \nbusiness day. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the AI Governance Committee within \nfive business days.', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.']","Potential prompt injection incidents shall be escalated to Information Security within one business day (AI-SDL-010, Section 5 – Incident Management, data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",One business day,,,,
Q004,Stale Guidance,High,"Any material change to model architecture, foundation model provider, retrieval corpus, or decision logic shall require re-validation prior to production deployment (AI-SDL-006).",What changes require re-validation before deployment?,"['Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.', '8  \non their characteristics and use. Validation generally occurs prior to a model’s first use. \nHowever, certain circumstances (e.g., an urgent business need) may necessitate using the model \nbefore validation is completed. In those cases, sound practice involves greater attention to the \nmodel’s limitations when considering the appropriateness of its use, informing relevant \nstakeholders of those limitations, and determining appropriate controls (e.g., placing limits on', 'deterioration over time and inform judgments about acceptable performance ranges. When \nperformance deviates meaningfully from expectations, banking organizations generally consider \nwhether model adjustments, recalibration, or redevelopment are warranted.  \nThe timing, nature, and frequency of validation activities vary based on model purpose, \nmodel methodology, frequency and scope of model changes, data limitations, and other practical']","Any material change to model architecture, foundation model provider, retrieval corpus, or decision logic shall require re-validation prior to production deployment (AI-SDL-006).","Model architecture, foundation model provider, retrieval corpus, and decision logic",,,,
Q005,Authority Failure,High,"The revised model risk management guidance currently governs model risk management practices [Source: data/documents/current\SR2602.pdf]. This guidance was issued on April 9, 2021 [Source: data/documents/current\SR2602.pdf] and updates the model risk management guidance that was in place since the issuance of SR 11-7 [Source: data/documents/current\SR2602.pdf].",What guidance currently governs model risk management practices?,"['Act/Anti-Money Laundering Compliance  (issued April 9, 2021). This revised guidance reflects \nsupervisory experience and industry feedback accumulated over the past fifteen years, as well as \nsignificant advancements in modeling practices. \nBased on supervisory experience and industry feedback since the issuance of SR 11-7, the \nagencies have updated the model risk management guidance to clarify model risk management', 'Corporation (the “agencies”) are issuing this revised model risk management guidance to clarify \nmodel risk management principles, and to set forth a risk-based approach to model risk \nmanagement, tailored to a banking organization’s model risk profile and the size and complexity \nof its operations. \nThis guidance is expected to be most relevant to banking organizations with over $30 \n \n1 See 12 CFR Part 4, Subpart F, Appendix A (OCC); 12 CFR Part 262, Appendix A (Board); 12 CFR Part 302,', 'principles and to emphasize a risk-based approach to model risk management that is tailored to a \nbanking organization’s model risk profile and the size and complexity of its operations. The revised \nguidance highlights sound principles for effective model risk management while recognizing that \nmodel risk management practices appropriately vary among banking organizations based on their \nspecific risk profiles and model usage.']","The revised model risk management guidance currently governs model risk management practices [Source: data/documents/current\SR2602.pdf]. This guidance was issued on April 9, 2021 [Source: data/documents/current\SR2602.pdf] and updates the model risk management guidance that was in place since the issuance of SR 11-7 [Source: data/documents/current\SR2602.pdf].",SR 26-2,,,,
Q006,Authority Failure,Medium,"Yes, model risk management activities should be tailored according to model risk. A banking organization may tailor portions of its model risk management practices that are relevant to the risks posed by a particular model [Source: data/documents/current\SR2602.pdf]. Not all models present the same level of risk, and practices should be appropriate and effective for managing the specific risks the banking organization faces or is likely to face [Source: data/documents/current\SR2602.pdf].",Should model risk management activities be tailored according to model risk?,"['The size and complexity of the banking organization’s operations also may influence the \nrange of model risk management. A banking organization with simple operations may not \nconduct model risk management with the same rigor as an organization with relatively more \ncomplex operations. Furthermore, a banking organization may tailor portions of its model risk \nmanagement practices that are relevant to the risks posed by a particular model and with a level', 'generally considered to be of greater risk than models that are not used for such purposes.   \nModel purpose, together with model exposure, determines model materiality. Assessing \nrisk based on model materiality is an important consideration for sound model risk management. \nBanking organizations may deem certain models immaterial based on model exposure and \npurpose. In those cases, model risk management may consist of identifying those models and', '2  \nrisk management practices that are appropriate and effective for managing the specific risks the \nbanking organization faces or is likely to face.  \nThere are a variety of ways for a banking organization to structure model risk \nmanagement practices. Not all models present the same level of risk, and a similar model at two \ndifferent banking organizations may present different risks. As such, practices that are']","Yes, model risk management activities should be tailored according to model risk. A banking organization may tailor portions of its model risk management practices that are relevant to the risks posed by a particular model [Source: data/documents/current\SR2602.pdf]. Not all models present the same level of risk, and practices should be appropriate and effective for managing the specific risks the banking organization faces or is likely to face [Source: data/documents/current\SR2602.pdf].",Yes,,,,
Q007,Authority Failure,High,"The current authoritative model risk management guidance is the Revised Guidance on Model Risk Management (Source: data/documents/current\SR2602.pdf). This revised guidance supersedes and replaces SR letter 11-7, Guidance on Model Risk Management, and SR letter 21-8, Interagency Statement on Model Risk Management for Bank Systems Supporting Bank Secrecy Act/Anti-Money Laundering Compliance (Source: data/documents/current\SR2602.pdf).",Which document is the current authoritative model risk management guidance?,"['The Board of Governors of the Federal Reserve System, Office of the Comptroller of the \nCurrency (OCC), and Federal Deposit Insurance Corporation (FDIC) (the “agencies”) are issuing \nthe attached Revised Guidance on Model Risk Management , which supersedes and replaces SR \nletter 11 -7,  Guidance on Model Risk Management  (issued April 4, 2011) and SR letter 21- 8, \nInteragency Statement on Model Risk Management for Bank Systems Supporting Bank Secrecy', 'Corporation (the “agencies”) are issuing this revised model risk management guidance to clarify \nmodel risk management principles, and to set forth a risk-based approach to model risk \nmanagement, tailored to a banking organization’s model risk profile and the size and complexity \nof its operations. \nThis guidance is expected to be most relevant to banking organizations with over $30 \n \n1 See 12 CFR Part 4, Subpart F, Appendix A (OCC); 12 CFR Part 262, Appendix A (Board); 12 CFR Part 302,', 'Act/Anti-Money Laundering Compliance  (issued April 9, 2021). This revised guidance reflects \nsupervisory experience and industry feedback accumulated over the past fifteen years, as well as \nsignificant advancements in modeling practices. \nBased on supervisory experience and industry feedback since the issuance of SR 11-7, the \nagencies have updated the model risk management guidance to clarify model risk management']","The current authoritative model risk management guidance is the Revised Guidance on Model Risk Management (Source: data/documents/current\SR2602.pdf). This revised guidance supersedes and replaces SR letter 11-7, Guidance on Model Risk Management, and SR letter 21-8, Interagency Statement on Model Risk Management for Bank Systems Supporting Bank Secrecy Act/Anti-Money Laundering Compliance (Source: data/documents/current\SR2602.pdf).",SR 26-2,,,,
Q008,Governance Boundary,Medium,This information is not available in the approved documents.,Who is responsible for prompt injection testing?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'Section 4 – Monitoring \nAI-SDL-008 \nAll production AI systems shall maintain immutable audit logs. \nAI-SDL-009 \nCritical-risk AI systems shall be monitored continuously for security events and model \nperformance degradation. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within one \nbusiness day. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the AI Governance Committee within \nfive business days.', 'assessment of data quality, relevance, and inputs. Testing may be performed by model \ndevelopers in collaboration with model users. The specific approach depends on the model’s \ncharacteristics. The rigor of effective testing is commensurate with model complexity and \nmateriality. For models that have relatively less material impact or for banking organizations \nwith relatively less complex operations, model testing may be more limited in scope.  \nModel Use']",This information is not available in the approved documents.,Information Security and AI Governance functions,,,,
Q009,Governance Boundary,High,Critical-risk AI systems shall obtain approval from the AI Governance Committee before production release [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf].,Who approves deployment of Critical AI systems?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 2.0 \nEffective Date: January 1, 2026 \nPurpose \nThis standard establishes minimum security, governance, and control requirements for the \ndevelopment, deployment, and monitoring of Generative AI and Agentic AI systems. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002']",Critical-risk AI systems shall obtain approval from the AI Governance Committee before production release [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf].,AI Governance Committee,,,,
Q010,Governance Boundary,Medium,"Potential prompt injection incidents shall be escalated to Information Security within one business day (AI-SDL-010, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",Who should be notified when a prompt injection incident occurs?,"['Section 4 – Monitoring \nAI-SDL-008 \nAll production AI systems shall maintain immutable audit logs. \nAI-SDL-009 \nCritical-risk AI systems shall be monitored continuously for security events and model \nperformance degradation. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within one \nbusiness day. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the AI Governance Committee within \nfive business days.', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.']","Potential prompt injection incidents shall be escalated to Information Security within one business day (AI-SDL-010, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",Information Security,,,,
