question_id,category,risk_level,answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
Q001,Stale Guidance,High,Critical-risk AI systems shall undergo adversarial red-team testing at least annually.,How often must Critical AI systems undergo adversarial red-team testing?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.', 'Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 1.0 \nEffective Date: January 1, 2024 \nStatus: Superseded \nPurpose \nThis standard establishes minimum security and governance requirements for Artificial \nIntelligence systems developed, deployed, or maintained within the organization. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002']",Critical-risk AI systems shall undergo adversarial red-team testing at least annually.,Quarterly,1.0,0.8694552337594842,0.0,0.0
Q002,Stale Guidance,Medium,This information is not available in the approved documents.,How long must security testing records be retained?,"['purpose, design, and execution of test plans, summary results with commentary and \nevaluation, and detailed analysis of informative samples. Testing activities should be \nappropriately documented. \nThe nature of testing and analysis will depend on the type of model and will be judged by \ndifferent criteria depending on the context. For example, the appropriate statistical tests \ndepend on specific distributional assumptions and the purpose of the model. Furthermore,', 'becomes available. New empirical evidence or theoretical research may suggest the need \nto modify or even replace original methods. Analysis of the integrity and applicability of [Page Break]', 'and users and to elevate their findings, including issues and deficiencies. The individual \nor unit to whom those staff report should have sufficient influence or stature within the [Page Break]']",This information is not available in the approved documents.,Seven years,0.0,0.0,0.0,0.0
Q003,Stale Guidance,High,Potential prompt injection incidents shall be escalated to Information Security within five business days.,Within how many business days must prompt injection incidents be escalated?,"['Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'business days. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the Technology Risk Committee within \nten business days. \nDocument History \nVersion 1.0 – Initial Release \nEffective Date: January 1, 2024 \nApproved By: Technology Risk Committee', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.']",Potential prompt injection incidents shall be escalated to Information Security within five business days.,One business day,1.0,0.8488413724844129,0.0,0.0
Q004,Stale Guidance,High,Material changes to model architecture shall require re-validation prior to production deployment.,What changes require re-validation before deployment?,"['Section 3 – Change Management \nAI-SDL-006 \nMaterial changes to model architecture shall require re-validation prior to production \ndeployment. \nAI-SDL-007', 'existing validation activities are sufficient. Such a determination could simply affirm \nprevious validation work, suggest updates to previous validation activities, or call for \nadditional validation activities. Material changes to models should also be subject to \nvalidation. It is generally good practice for banks to ensure that all models undergo the \nfull validation process, as described in the following section, at some fixed interval, \nincluding updated documentation of all activities.', 'track known model limitations and to identify any new ones. Validation is an important \ncheck on model use during periods of benign economic and financial conditions, when \nestimates of risk and potential loss can become overly optimistic, and when the data at \nhand may not fully reflect more stressed conditions. Ongoing validation activities help to \nensure that changes in markets, products, exposures, activities, clients, or business']",Material changes to model architecture shall require re-validation prior to production deployment.,"Model architecture, foundation model provider, retrieval corpus, and decision logic",1.0,0.782904477735749,0.0,0.0
Q005,Authority Failure,High,This information is not available in the approved documents.,What guidance currently governs model risk management practices?,"['guidance—most importantly by broadening the scope to include all aspects of model risk \nmanagement. Many banks may already have in place a large portion of these practices, \nbut all banks should ensure that internal policies and procedures are consistent with the \nrisk management principles and supervisory expectations contained in this guidance. \nDetails may vary from bank to bank, as practical application of this guidance should be', 'Page 2 \nThis guidance describes the key aspects of  effective  model risk management. Section II \nexplains the purpose and scope of the guidance, and Section III gives an overview of \nmodel risk management. Section IV discusses robust model development, \nimplementation, and use. Section V describes the components of an effective validation \nframework. Section VI explains the salient features of sound governance, policies, and', ""manage model risk, including internal policies and procedures that appropriately reflect \nthe risk management principles described in this guidance. Details of model risk \nmanagement practices may vary from bank to bank, as practical application of this \nguidance should be commensurate with a bank's risk exposures, its business activities, \nand the extent and complexity of its model use.""]",This information is not available in the approved documents.,SR 26-2,0.0,0.0,0.0,0.0
Q006,Authority Failure,Medium,"Yes, details of model risk management practices may vary from bank to bank, as practical application of this guidance should be commensurate with a bank's risk exposures, its business activities, and the extent and complexity of its model use. They should be customized to be commensurate with a bank's risk exposures, its business activities, and the complexity and extent of its model use.",Should model risk management activities be tailored according to model risk?,"[""manage model risk, including internal policies and procedures that appropriately reflect \nthe risk management principles described in this guidance. Details of model risk \nmanagement practices may vary from bank to bank, as practical application of this \nguidance should be commensurate with a bank's risk exposures, its business activities, \nand the extent and complexity of its model use."", ""customized to be commensurate with a bank's risk exposures, its business activities, and \nthe complexity and extent of its model use. For example, steps taken to apply this \nguidance at a community bank using relatively few models of only moderate complexity \nmight be significantly less involved than those at a larger bank where use of models is \nmore extensive or complex. [Page Break]"", 'the extent of model risk. Moreover, the modeling exercise is often a multidisciplinary \nactivity drawing on economics, finance, statistics, mathematics, and other fields. Models \nare employed in real-world markets and events and therefore should be tailored for \nspecific applications and informed by business uses. In addition, a considerable amount \nof subjective judgment is exercised at various stages of model development,']","Yes, details of model risk management practices may vary from bank to bank, as practical application of this guidance should be commensurate with a bank's risk exposures, its business activities, and the extent and complexity of its model use. They should be customized to be commensurate with a bank's risk exposures, its business activities, and the complexity and extent of its model use.",Yes,1.0,0.793673844514895,1.0,0.9999999999666667
Q007,Authority Failure,High,This information is not available in the approved documents.,Which document is the current authoritative model risk management guidance?,"['Page 2 \nThis guidance describes the key aspects of  effective  model risk management. Section II \nexplains the purpose and scope of the guidance, and Section III gives an overview of \nmodel risk management. Section IV discusses robust model development, \nimplementation, and use. Section V describes the components of an effective validation \nframework. Section VI explains the salient features of sound governance, policies, and', 'controls over model development, implementation, use, and validation. Section VII \nconcludes. \nII. PURPOSE AND SCOPE \nThe purpose of this document is to provide comprehensive guidance for banks on \neffective model risk management. Rigorous model validation plays a critical role in \nmodel risk management; however, sound development, implementation, and use of \nmodels are also vital elements. Furthermore, model risk management encompasses', 'assumptions. \nVII. CONCLUSION \nThis document has provided comprehensive guidance on effective model risk \nmanagement. Many of the activities described in this document are common industry \npractice. But all banks should confirm that their practices conform to the principles in this \nguidance for model development, implementation, and use, as well as model validation. \nBanks should also ensure that they maintain strong governance and controls to help']",This information is not available in the approved documents.,SR 26-2,0.0,0.0,0.0,0.0
Q008,Governance Boundary,Medium,This information is not available in the approved documents.,Who is responsible for prompt injection testing?,"['Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.', 'and users and to elevate their findings, including issues and deficiencies. The individual \nor unit to whom those staff report should have sufficient influence or stature within the [Page Break]']",This information is not available in the approved documents.,Information Security and AI Governance functions,1.0,0.0,0.0,0.0
Q009,Governance Boundary,High,Critical-risk AI systems shall obtain approval from the Technology Risk Committee before production release.,Who approves deployment of Critical AI systems?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 1.0 \nEffective Date: January 1, 2024 \nStatus: Superseded \nPurpose \nThis standard establishes minimum security and governance requirements for Artificial \nIntelligence systems developed, deployed, or maintained within the organization. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002', 'Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.']",Critical-risk AI systems shall obtain approval from the Technology Risk Committee before production release.,AI Governance Committee,1.0,0.8579675882761241,0.0,0.0
Q010,Governance Boundary,Medium,Potential prompt injection incidents shall be escalated to Information Security within five business days.,Who should be notified when a prompt injection incident occurs?,"['Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'business days. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the Technology Risk Committee within \nten business days. \nDocument History \nVersion 1.0 – Initial Release \nEffective Date: January 1, 2024 \nApproved By: Technology Risk Committee', 'and users and to elevate their findings, including issues and deficiencies. The individual \nor unit to whom those staff report should have sufficient influence or stature within the [Page Break]']",Potential prompt injection incidents shall be escalated to Information Security within five business days.,Information Security,1.0,0.8439309707538354,1.0,0.9999999999
Q011,Materiality Failure,High,This information is not available in the approved documents.,Is changing the foundation model provider considered a material change?,"['Section 3 – Change Management \nAI-SDL-006 \nMaterial changes to model architecture shall require re-validation prior to production \ndeployment. \nAI-SDL-007', 'Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'existing validation activities are sufficient. Such a determination could simply affirm \nprevious validation work, suggest updates to previous validation activities, or call for \nadditional validation activities. Material changes to models should also be subject to \nvalidation. It is generally good practice for banks to ensure that all models undergo the \nfull validation process, as described in the following section, at some fixed interval, \nincluding updated documentation of all activities.']",This information is not available in the approved documents.,Yes,1.0,0.0,0.0,0.0
