question_id,category,risk_level,answer,faithfulness,answer_relevancy,context_recall,context_precision
Q001,Stale Guidance,High,Critical-risk AI systems shall undergo adversarial red-team testing at least annually. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf],1.0,1.0,0.0,0.7
Q002,Stale Guidance,Medium,This information is not available in the approved documents.,1.0,0.85,0.0,0.0
Q003,Stale Guidance,High,Potential prompt injection incidents shall be escalated to Information Security within five business days. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf],1.0,1.0,0.0,
Q004,Stale Guidance,High,Material changes to model architecture shall require re-validation prior to production deployment. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf] Material changes to models should also be subject to validation. [Source: data/documents/outdated\sr1107a1.pdf],1.0,1.0,0.25,0.4
Q005,Authority Failure,High,This information is not available in the approved documents.,0.0,0.1,0.0,0.35
Q006,Authority Failure,Medium,"Yes, details of model risk management practices may vary from bank to bank, as practical application of this guidance should be commensurate with a bank's risk exposures, its business activities, and the extent and complexity of its model use [Source: data/documents/outdated\sr1107a1.pdf].",1.0,0.98,0.95,0.75
Q007,Authority Failure,High,This information is not available in the approved documents.,0.0,0.85,0.0,0.2
Q008,Governance Boundary,Medium,This information is not available in the approved documents.,1.0,0.85,0.95,0.35
Q009,Governance Boundary,High,Critical-risk AI systems shall obtain approval from the Technology Risk Committee before production release [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf].,0.95,1.0,0.6,0.0
Q010,Governance Boundary,Medium,"Potential prompt injection incidents shall be escalated to Information Security within five business days (AI-SDL-010, Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf).",0.9,0.85,1.0,0.25
Q011,Materiality Failure,High,This information is not available in the approved documents.,0.0,0.9,1.0,0.85
Q012,Materiality Failure,High,This information is not available in the approved documents.,0.0,0.9,1.0,0.9
Q013,Materiality Failure,Medium,"Prompt updates may be implemented through standard change management procedures [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf].

This information is not available in the approved documents.",0.2,0.85,1.0,0.35
Q014,Materiality Failure,High,This information is not available in the approved documents.,1.0,0.95,0.35,0.75
Q015,Materiality Failure,High,"Critical-risk AI systems shall undergo performance reviews at least annually [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf, AI-SDL-009].
Production AI systems shall maintain operational logs sufficient to support troubleshooting and incident investigations [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf, AI-SDL-008].",1.0,0.85,1.0,0.85
Q016,Validation Philosophy,High,This information is not available in the approved documents.,0.0,0.6,0.95,0.85
Q017,Authority Failure,High,All banks should ensure that internal policies and procedures are consistent with the risk management principles and supervisory expectations contained in the guidance [Source: data/documents/outdated\sr1107a1.pdf]. Internal policies and procedures should appropriately reflect the risk management principles described in the guidance [Source: data/documents/outdated\sr1107a1.pdf].,1.0,0.95,1.0,0.9
Q018,Materiality Failure,High,"Yes, replacing the foundation model requires re-validation.

The replacement of a model requires verification [Source: data/documents/outdated\sr1107a1.pdf]. Material changes to models should be subject to validation [Source: data/documents/outdated\sr1107a1.pdf]. Material changes to model architecture shall require re-validation prior to production deployment [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf].",1.0,1.0,0.9,0.85
Q019,Governance Boundary,High,Critical-risk AI systems shall obtain approval from the Technology Risk Committee before production release [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf].,0.95,1.0,0.6,0.35
Q020,Stale Guidance,Medium,"According to AI-SDL-004, Critical-risk AI systems shall undergo adversarial red-team testing at least annually [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf]. However, the AI Secure Development Lifecycle Standard (AI-SDL) Version 1.0, which contains this requirement, has a status of ""Superseded"" [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf]. Therefore, these requirements are not current.",1.0,1.0,0.95,0.95
